iter	Passed	Remaining
0	508	253580
1	646	161052
2	1002	166021
3	1061	131620
4	1219	120705
5	1571	129389
6	1635	115174
7	1976	121537
8	2310	126034
9	2415	118338
10	2598	115504
11	2647	107655
12	2983	111749
13	3072	106658
14	3155	102029
15	3184	96336
16	3488	99102
17	3520	94283
18	3566	90298
19	3710	89048
20	4060	92616
21	4448	96645
22	4486	93046
23	4835	95904
24	4884	92810
25	5234	95421
26	5287	92626
27	5332	89891
28	5371	87235
29	5407	84709
30	5454	82528
31	5490	80300
32	5536	78353
33	5618	77011
34	5650	75065
35	5696	73422
36	5724	71636
37	5756	69986
38	5888	69608
39	5933	68233
40	6292	70444
41	6604	72021
42	6644	70612
43	6672	69149
44	6753	68283
45	7166	70727
46	7191	69313
47	7232	68107
48	7257	66795
49	7343	66087
50	7508	66105
51	7863	67743
52	7912	66736
53	7937	65558
54	8267	66894
55	8359	66279
56	8382	65145
57	8467	64531
58	8544	63868
59	8592	63009
60	8621	62043
61	8651	61122
62	8710	60418
63	8753	59631
64	8900	59567
65	8981	59062
66	9010	58235
67	9052	57510
68	9097	56823
69	9133	56105
70	9284	56100
71	9334	55487
72	9398	54973
73	9535	54895
74	9575	54259
75	9599	53555
76	10005	54962
77	10048	54365
78	10464	55769
79	10872	57081
80	11309	58503
81	11661	59446
82	12015	60368
83	12429	61556
84	12808	62533
85	12984	62506
86	13383	63531
87	13732	64294
88	14087	65057
89	14437	65769
90	14770	66387
91	15116	67038
92	15460	67661
93	15856	68486
94	16264	69337
95	16614	69920
96	16968	70497
97	17338	71125
98	17675	71595
99	18114	72458
100	18532	73214
101	18881	73675
102	19284	74328
103	19658	74854
104	20042	75399
105	20447	76003
106	20861	76622
107	21207	76975
108	21593	77457
109	21956	77844
110	22359	78357
111	22774	78896
112	23146	79270
113	23561	79777
114	23934	80127
115	24325	80526
116	24465	80089
117	24865	80495
118	25222	80754
119	25564	80954
120	25607	80209
121	25997	80550
122	26344	80748
123	26386	80009
124	26752	80256
125	27137	80550
126	27476	80698
127	27817	80845
128	28169	81015
129	28510	81143
130	28861	81295
131	29262	81580
132	29648	81812
133	30038	82044
134	30414	82230
135	30979	82916
136	31405	83214
137	31764	83323
138	32093	83351
139	32456	83458
140	32797	83504
141	33128	83521
142	33519	83680
143	33859	83708
144	34219	83779
145	34560	83796
146	34870	83735
147	35246	83828
148	35587	83832
149	35917	83806
150	36236	83752
151	36581	83751
152	36915	83724
153	37247	83686
154	37563	83607
155	37892	83558
156	38219	83498
157	38534	83410
158	38857	83335
159	39178	83254
160	39534	83243
161	39863	83171
162	40243	83203
163	40728	83442
164	41098	83442
165	41438	83375
166	41786	83321
167	42152	83301
168	42555	83348
169	42890	83257
170	43281	83271
171	43340	82649
172	43615	82441
173	43959	82360
174	44307	82284
175	44640	82178
176	44682	81540
177	45012	81427
178	45369	81360
179	45721	81283
180	46107	81261
181	46425	81117
182	46763	81005
183	47113	80912
184	47455	80801
185	47821	80730
186	48203	80683
187	48537	80551
188	48970	80580
189	49296	80431
190	49607	80254
191	49953	80133
192	50303	80016
193	50610	79828
194	50964	79714
195	51346	79639
196	51648	79439
197	51986	79292
198	52304	79114
199	52656	78984
200	52998	78839
201	53322	78663
202	53654	78500
203	53997	78348
204	54318	78166
205	54629	77966
206	54971	77810
207	55289	77618
208	55589	77400
209	55912	77212
210	56274	77077
211	56613	76908
212	56936	76717
213	57258	76523
214	57581	76328
215	57883	76105
216	58237	75950
217	58590	75791
218	58898	75573
219	59231	75384
220	59544	75171
221	59877	74981
222	60190	74765
223	60533	74586
224	60963	74510
225	61621	74709
226	62110	74696
227	62519	74584
228	62889	74423
229	63260	74261
